Code,Description,Lang,Description_Translated_th,Description_Translated_ms
0NN,Not Refundable,en,ไม่สามารถขอเงินคืนได้,Tidak Dapat Dikembalikan
0P1,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สัมภาระที่เช็คอิน,{0}x{1} kg Bagasi berdaftar
0PO,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
0PZ,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
1AB,Seat choice for a fee,en,ค่าธรรมเนียมสำหรับการเลือกที่นั่ง,Pilihan tempat duduk dengan bayaran
063,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
A20,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับกระเป๋าที่เช็ค-in,{0}x{1} kg Beg Daftar
A23,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าเช็คอิน,{0}x{1} kg Beg Diperiksa
A30,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
A35,{0}x{1} kg Checked bag,en,{0}x{1} กก. กระเป๋าเช็ค-in,{0}x{1} kg Bagasi Berdaftar
A40,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็กอิน,{0}x{1} kg Beg Daftar
A45,{0}x{1} kg Checked bag,en,{0}x{1} กก. กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
A4P,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
A50,{0}x{1} kg Checked bag,en,{0}x{1} กก. กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
A60,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับกระเป๋าที่ลงทะเบียน,{0}x{1} kg Beg Diperiksa
BAG_INTER,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับการชั่งน้ำหนักแบบเช็คอิน,{0}x{1} kg Beg Daftar
BAG_INTER_HND,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระที่พกพา,{0}x{1} kg Bagasi Kabin
BAG_INTER_PER,Personel Item,en,รายการส่วนตัว,Barang Peribadi
C01,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระถือขึ้นเครื่อง,{0}x{1} kg Bawaan Kabin
CAO,{0}x{1} kg Carry-on,en,{0}x{1} กิโลกรัม สัมภาระถือขึ้นเครื่อง,{0}x{1} kg Bagasi Kabin
CB1,{0}x{1} kg Carry-on,en,{0}x{1} กิโลกรัม สัมภาระที่พกพาได้,{0}x{1} kg Bawaan Kabin
CB2,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระที่พกพาได้,{0}x{1} kg Bawaan Kabin
CBC,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระถือขึ้นเครื่อง,{0}x{1} kg Beg Tangan
CBU,Personel Item,en,รายการส่วนตัว,Barangan Peribadi
CBY,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระที่นำขึ้นเครื่อง,{0}x{1} kg Bagasi Kabin
CML,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
CY1,{0}x{1} kg Carry-on,en,น้ำหนักสัมภาระถือขึ้นเครื่อง {0}x{1} กิโลกรัม,{0}x{1} kg Bagasi Kabin
CY2,{0}x{1} kg Carry-on,en,{0}x{1} กิโลกรัม สัมภาระที่นำขึ้นเครื่อง,{0}x{1} kg Bagasi Kabin
FBC,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
FBF,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าที่เช็ค-in,{0}x{1} kg Bagasi berdaftar
FBP,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
FBY,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าที่เช็คอิน,{0}x{1} kg Bagasi berdaftar
IB3,Seat choice included,en,รวมการเลือกที่นั่ง,Pilihan tempat duduk termasuk
IB4,Seat choice for a fee,en,ค่าธรรมเนียมสำหรับการเลือกที่นั่ง,Pilihan tempat duduk dengan bayaran
IB5,Seat choice included,en,ที่นั่งเลือกได้รวมอยู่แล้ว,Pilihan tempat duduk termasuk
IB6,Seat choice included,en,ตัวเลือกที่นั่งรวมแล้ว,Pilihan tempat duduk termasuk
IB7,Refundable Ticket,en,ตั๋วที่คืนเงินได้,Tiket Boleh Dikembalikan Wang
IB8,Not Refundable,en,ไม่สามารถขอคืนเงินได้,Tidak Dapat Dikembalikan
IB9,Changeable Ticket,en,ตั๋วที่สามารถเปลี่ยนแปลงได้,Tiket Boleh Ubah
IC1,Carry-on Included,en,กระเป๋าถือพกพาได้รวมอยู่แล้ว,Termasuk Kabin Bagasi
IC3,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
IN5,Changeable Ticket,en,ตั๋วที่เปลี่ยนได้,Tiket Boleh Ubah
OST,Seat choice included,en,การเลือกที่นั่งรวมอยู่แล้ว,Pilihan tempat duduk termasuk
OU1,Name Change,en,การเปลี่ยนชื่อ,Penukaran Nama
OU2,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระโดยสาร,{0}x{1} kg Bagasi Kabin
OU3,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระที่พกติดตัว,{0}x{1} kg Bagasi Kabin
P01,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็กอิน,{0}x{1} kg Beg Daftar
P02,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
P03,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
P04,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
P05,{0}x{1} kg Checked bag,en,{0}x{1} กก. กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
P20,{0}x{1} kg Checked bag,en,{0}x{1} กก. กระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
P23,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็กอิน,{0}x{1} kg Beg Daftar
P32,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สัมภาระที่เช็ค-in,{0}x{1} kg Beg Daftar
PC1,{0}x{1} kg Checked bag,en,{0}x{1} กก. สัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
PC2,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สัมภาระที่เช็กอิน,{0}x{1} kg Bagasi berdaftar
A25,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับสัมภาระที่เช็คอิน,{0}x{1} kg Beg Daftar
PEA,Exchange true,en,แลกเปลี่ยนจริง,Tukar benar
PEP,Exchange false,en,แลกเปลี่ยนไม่ได้,Tukar salah
PRA,Refund true,en,คืนเงินได้,Pengembalian dana benar
PRP,Refund false,en,คืนเงินไม่ได้,Pengembalian dana tidak tersedia
PRS,Seat choice included,en,การเลือกที่นั่งรวมอยู่ในราคา,Pilihan tempat duduk termasuk
PSA,Seat choice included,en,ตัวเลือกที่นั่งรวมอยู่แล้ว,Pilihan tempat duduk termasuk
PSL,Personel Item,en,รายการส่วนตัว,Barang Peribadi
SA4,Seat choice included,en,การเลือกที่นั่งรวมอยู่แล้ว,Pilihan tempat duduk termasuk
SDC,Changeable Ticket,en,ตั๋วที่เปลี่ยนได้,Tiket Boleh Ubah
BAG,{0}x{1} kg Carry-on,en,{0}x{1} กิโลกรัม สัมภาระโดยสาร,{0}x{1} kg Bagasi Kabin
BAG_1,{0}x{1} kg Carry-on,en,{0}x{1} กิโลกรัม สัมภาระถือขึ้นเครื่อง,{0}x{1} kg Bagasi Kabin
